,Nodtyp,EnhetId,AntalbestalldaPortioner,AntalKoptaPortioner,AntalAtande,AntalSaldaPortioner,KoksSvinnGram,ServeringsSvinnGram,TallriksSvinnGram,DW_Source,Manad,Ar,Dag,Vecka
41303,1,364,0,0,325,0,1500,8000,9700,0,1,2022,4,2
41304,1,365,0,0,198,0,1000,1600,4000,0,1,2022,4,2
41305,1,366,0,0,170,0,1200,1800,2100,0,1,2022,4,2
41306,1,367,0,0,291,0,0,8000,9800,0,1,2022,4,2
41307,1,368,0,0,272,0,0,9500,6400,0,1,2022,4,2
41308,1,369,0,0,350,0,0,1000,2000,0,1,2022,4,2
41309,1,370,0,0,437,0,300,5300,8400,0,1,2022,4,2
41310,1,371,0,0,252,0,5000,2000,5000,0,1,2022,4,2
41311,1,372,0,0,220,0,1400,700,3800,0,1,2022,4,2
41312,1,373,0,0,567,0,1000,6000,8500,0,1,2022,4,2
41313,1,376,0,0,148,0,2000,2300,3500,0,1,2022,4,2
41314,1,377,420,0,304,0,0,2300,5500,0,1,2022,4,2
41315,1,378,0,0,110,0,1000,4000,3000,0,1,2022,4,2
41316,1,379,435,0,307,0,1900,1600,7200,0,1,2022,4,2
41317,1,380,180,0,113,0,2300,3300,1600,0,1,2022,4,2
41318,2,386,0,0,558,0,500,1200,6000,0,1,2022,4,2
41319,2,389,0,0,310,0,1900,10500,12800,0,1,2022,4,2
41320,2,390,0,0,299,0,3000,6000,18000,0,1,2022,4,2
41321,2,391,0,0,568,0,2000,4000,28000,0,1,2022,4,2
41322,1,398,0,0,300,0,1000,3000,7500,0,1,2022,4,2
41323,1,399,0,0,390,0,0,8600,9200,0,1,2022,4,2
41324,1,400,0,0,408,0,0,6100,7300,0,1,2022,4,2
41325,1,406,0,0,306,0,3000,3000,8000,0,1,2022,4,2
41326,1,407,0,0,284,0,200,2200,7200,0,1,2022,4,2
41327,0,2,0,0,89,0,0,900,1300,0,1,2022,0,3
41328,0,34,0,0,130,0,0,2000,2000,0,1,2022,0,3
41329,0,53,0,0,51,0,0,1200,1800,0,1,2022,0,3
41330,0,80,0,0,16,0,0,0,1,0,1,2022,0,3
